#{"t_start": 1762439432.5778115, "env_id": "None"}
r,l,t
178.90479,41,1252.220544
166.42813,42,1266.304815
188.85101,39,1280.224426
254.45654,47,1294.576555
223.22598,44,1308.763094
266.3933,50,1323.282878
186.98486,42,1337.364601
138.44333,40,1351.341252
195.27487,44,1365.531156
207.08307,44,1379.729898
158.59598,45,1393.973305
87.27579,48,1410.771063
149.42477,38,1424.652304
156.14029,42,1438.739487
194.53815,47,1453.088857
235.63965,52,1467.71024
190.56793,45,1481.960202
161.25784,40,1495.94074
199.53632,43,1510.084806
181.07623,43,1524.226304
234.63733,47,1538.587613
186.36804,43,1552.738023
165.79916,41,1566.771801
224.5162,49,1581.222483
165.1177,43,1595.367339
228.1113,45,1609.616336
182.32977,41,1623.653384
183.16122,46,1637.959858
160.82214,45,1652.203592
236.06104,50,1666.726213
185.07797,45,1680.960999
284.0786,49,1695.421122
151.4599,38,1709.2809
270.60266,51,1723.842353
174.65259,43,1737.978384
177.37964,41,1752.012239
208.5853,44,1766.207813
224.56323,52,1780.829862
158.64835,41,1794.854385
300.65646,50,1809.36517
208.17099,46,1823.656871
222.00531,49,1838.110591
259.83545,50,1852.621518
231.83224,49,1867.09479
183.41302,42,1881.17783
209.02515,49,1895.63761
200.2074,49,1910.100427
173.91626,39,1924.02901
224.34277,45,1938.272641
206.98718,45,1952.510455
266.4518,51,1967.069298
161.59442,44,1981.252573
164.61911,43,1995.394753
157.03531,41,2009.425529
283.12234,48,2023.833996
217.87729,43,2037.978532
180.53528,40,2051.96175
304.896,55,2069.086047
169.44852,42,2083.170295
191.67303,46,2097.470948
225.716,47,2111.819523
229.13116,48,2126.222491
150.74445,38,2140.091643
191.4942,43,2154.230315
194.10782,44,2168.422451
250.7828,45,2182.66313
225.13559,47,2197.018387
179.55191,45,2211.261844
267.67926,50,2225.778746
221.57278,48,2240.201977
193.86075,45,2254.457738
131.20322,34,2268.107836
244.04468,48,2282.516344
192.25702,42,2296.598321
235.10767,52,2311.211207
203.51074,46,2325.514276
261.26038,47,2339.863369
197.59952,43,2353.999195
303.64627,53,2368.678151
265.50623,48,2383.092559
197.35318,48,2397.507366
270.34235,54,2412.234969
160.43555,42,2426.310449
146.49863,43,2440.443142
259.87567,49,2454.911538
201.4982,44,2469.110112
207.4296,48,2483.512884
188.42523,44,2497.699832
167.77808,40,2511.679448
292.2017,58,2526.637628
165.5451,42,2540.716527
177.50317,45,2554.954077
210.87955,50,2569.471522
204.45499,42,2583.556309
209.5936,43,2597.691735
298.97827,51,2612.250855
241.41098,51,2626.824257
228.98987,49,2641.281164
207.60199,48,2655.685208
165.24701,42,2669.769134
194.99481,43,2683.895776
328.20016,68,2701.614388
200.93002,45,2715.863877
188.08136,42,2729.94585
183.09256,43,2744.105396
146.09752,51,2758.690782
215.39163,45,2772.952877
226.9711,53,2787.640831
194.30966,51,2802.208753
264.7964,51,2816.776307
140.22835,43,2830.893732
233.21985,49,2845.341811
180.78818,39,2859.267222
126.90819,38,2873.127112
239.50897,52,2887.746284
217.14194,44,2901.944655
294.63367,58,2916.896454
141.977,37,2930.702069
173.19678,47,2945.055233
265.20013,51,2959.63106
237.68567,55,2974.40926
215.48495,47,2988.769998
118.392975,36,3002.527857
199.2532,45,3016.762243
151.25734,38,3030.62493
217.83905,42,3044.709703
199.28134,57,3059.598362
187.35095,45,3073.844741
237.96655,48,3088.250446
210.54279,44,3102.437444
208.72949,47,3116.800849
175.84332,42,3130.873636
216.28268,58,3145.81983
186.9714,45,3160.066628
236.97171,47,3174.412196
163.0586,39,3188.335246
273.22296,66,3203.700651
212.59482,49,3218.163347
189.91663,46,3232.457871
170.41235,38,3246.347885
272.2914,55,3261.122764
268.8919,52,3275.747777
212.84262,47,3290.102568
396.43307,64,3305.363189
218.42502,59,3322.745534
236.03912,53,3337.427469
205.06775,46,3351.720279
207.84784,51,3366.290377
175.69919,44,3380.480087
272.14423,53,3395.164894
234.04901,43,3409.297794
173.81015,44,3423.496603
161.17593,45,3437.746381
281.95786,54,3452.481497
218.80988,49,3466.932875
187.74228,47,3481.293068
160.66583,43,3495.426021
158.94226,44,3509.624837
170.1167,39,3523.547071
234.06717,49,3538.004293
202.77664,46,3552.29901
204.7761,48,3566.710652
